date,type,ticker,quantity,price,fees,transact_val,last_occurrence,cashflow,prev_units,cml_units,prev_cost,cml_cost,cost_transact,cost_unit,gain_loss,yield,cml_cashflow,avg_price
2021-03-04,Buy,CRO,200.0,30.67,0.92,6134.0,70,-6134.0,200.0,400.0,0.0,6134.0,0.0,0.0,0.0,0.0,6134.0,15.335
2021-03-04,Buy,ADA,100.0,121.59,3.64,12159.0,71,-12159.0,200.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,18293.0,0.0
2021-03-07,Buy,ADA,30.0,34.21,1.02,1026.3,68,-1026.3,170.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,19319.3,0.0
2021-03-07,Buy,CRO,200.0,31.62,0.95,6324.0,69,-6324.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,25643.3,0.0
2021-03-07,Buy,BTC,0.0,116.89,3.5,0.0,0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25643.3,
2021-03-10,Sell,CRO,-400.0,64.62,1.93,-25848.0,0,-25848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51491.3,
2021-03-12,Buy,ADA,70.0,76.89,2.3,5382.3,67,-5382.3,100.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,56873.600000000006,0.0
2021-03-12,Buy,ADA,100.0,107.33,3.21,10733.0,66,-10733.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,67606.6,0.0
2021-04-13,Sell,ADA,-50.0,65.07,1.95,-3253.5,0,-3253.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70860.1,
2021-04-13,Sell,USDM,-64.98,64.98,1.94,-4222.4,0,-4222.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75082.5,
2021-04-16,Sell,VET,-200.0,44.38,1.33,-8876.0,61,-8876.0,23850.0,24050.0,0.0,0.0,0.0,0.0,-8876.0,-inf,83958.5,0.0
2021-04-17,Sell,USDC,-44.38,44.38,1.33,-1969.58,56,-1969.58,186.37,230.75,0.0,0.0,0.0,0.0,-1969.58,-inf,85928.08,0.0
2021-04-30,Buy,ONE,150.0,21.14,0.63,3171.0,60,-3171.0,4362.0,4512.0,0.0,0.0,0.0,0.0,0.0,0.0,89099.08,0.0
2021-04-30,Buy,VET,120.0,23.03,0.69,2763.6,58,-2763.6,23730.0,23850.0,0.0,0.0,0.0,0.0,0.0,0.0,91862.68000000001,0.0
2021-05-02,Buy,ONE,200.0,28.99,0.87,5798.0,50,-5798.0,4162.0,4362.0,0.0,0.0,0.0,0.0,0.0,0.0,97660.68000000001,0.0
2021-05-02,Buy,DOGE,150.0,58.44,1.75,8766.0,57,-8766.0,10.5,160.5,0.0,0.0,0.0,0.0,0.0,0.0,106426.68000000001,0.0
2021-05-02,Buy,VET,220.0,49.21,1.47,10826.2,49,-10826.2,23510.0,23730.0,0.0,0.0,0.0,0.0,0.0,0.0,117252.88,0.0
2021-05-07,Sell,DOGE,-10.5,5.93,0.18,-62.26,55,-62.26,0.0,10.5,0.0,0.0,0.0,0.0,-62.26,-inf,117315.14,0.0
2021-05-07,Sell,USDC,-5.88,5.88,0.18,-34.57,54,-34.57,180.49,186.37,0.0,0.0,0.0,0.0,-34.57,-inf,117349.71,0.0
2021-05-08,Buy,AUDIO,25.0,55.99,1.67,1399.75,45,-1399.75,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,118749.46,0.0
2021-05-08,Sell,USDC,-57.84,57.84,1.73,-3345.47,44,-3345.47,84.46,142.3,0.0,0.0,0.0,0.0,-3345.47,-inf,122094.93000000001,0.0
2021-05-08,Sell,USDC,-18.23,18.23,0.55,-332.33,53,-332.33,162.26,180.49,0.0,0.0,0.0,0.0,-332.33,-inf,122427.26000000001,0.0
2021-05-08,Sell,USDC,-19.96,19.96,0.6,-398.4,52,-398.4,142.3,162.26,0.0,0.0,0.0,0.0,-398.4,-inf,122825.66,0.0
2021-05-08,Sell,DOGE,-139.5,95.9,2.87,-13378.05,0,-13378.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136203.71,
2021-06-06,Buy,ONE,150.0,14.25,0.43,2137.5,47,-2137.5,4012.0,4162.0,0.0,0.0,0.0,0.0,0.0,0.0,138341.21,0.0
2021-06-15,Buy,VET,100.0,11.57,0.35,1157.0,48,-1157.0,23410.0,23510.0,0.0,0.0,0.0,0.0,0.0,0.0,139498.21,0.0
2021-07-16,Buy,VET,200.0,13.85,0.41,2770.0,46,-2770.0,23210.0,23410.0,0.0,0.0,0.0,0.0,0.0,0.0,142268.21,0.0
2021-07-23,Buy,ONE,150.0,9.88,0.3,1482.0,37,-1482.0,3862.0,4012.0,0.0,0.0,0.0,0.0,0.0,0.0,143750.21,0.0
2021-08-13,Buy,VET,130.0,14.95,0.45,1943.5,42,-1943.5,23080.0,23210.0,0.0,0.0,0.0,0.0,0.0,0.0,145693.71,0.0
2021-08-17,Sell,AUDIO,-25.0,84.46,2.53,-2111.5,35,-2111.5,0.0,25.0,0.0,0.0,0.0,0.0,-2111.5,-inf,147805.21,0.0
2021-08-27,Sell,USDC,-50.0,50.0,1.5,-2500.0,43,-2500.0,34.46,84.46,0.0,0.0,0.0,0.0,-2500.0,-inf,150305.21,0.0
2021-08-27,Sell,USDC,-34.46,34.46,1.03,-1187.49,34,-1187.49,0.0,34.46,0.0,0.0,0.0,0.0,-1187.49,-inf,151492.69999999998,0.0
2021-09-17,Buy,VET,450.0,51.24,1.53,23058.0,41,-23058.0,22630.0,23080.0,0.0,0.0,0.0,0.0,0.0,0.0,174550.69999999998,0.0
2021-10-15,Buy,VET,700.0,83.39,2.49,58373.0,40,-58373.0,21930.0,22630.0,0.0,0.0,0.0,0.0,0.0,0.0,232923.69999999998,0.0
2022-01-09,Buy,VET,620.0,48.69,1.46,30187.8,39,-30187.8,21310.0,21930.0,0.0,0.0,0.0,0.0,0.0,0.0,263111.5,0.0
2022-01-14,Buy,VET,300.0,23.74,0.71,7122.0,38,-7122.0,21010.0,21310.0,0.0,0.0,0.0,0.0,0.0,0.0,270233.5,0.0
2022-01-23,Buy,VET,1400.0,74.08,2.21,103712.0,36,-103712.0,19610.0,21010.0,0.0,0.0,0.0,0.0,0.0,0.0,373945.5,0.0
2022-01-23,Buy,ONE,150.0,29.62,0.89,4443.0,30,-4443.0,3712.0,3862.0,0.0,0.0,0.0,0.0,0.0,0.0,378388.5,0.0
2022-02-06,Buy,VET,1000.0,60.74,1.82,60740.0,33,-60740.0,18610.0,19610.0,0.0,0.0,0.0,0.0,0.0,0.0,439128.5,0.0
2022-02-11,Sell,AUDIO,-39.37,46.86,1.4,-1844.88,0,-1844.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440973.38,
2022-02-11,Sell,USDC,-46.72,46.72,1.4,-2182.76,0,-2182.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443156.14,
2022-02-23,Buy,VET,950.0,47.17,1.41,44811.5,32,-44811.5,17660.0,18610.0,0.0,0.0,0.0,0.0,0.0,0.0,487967.64,0.0
2022-03-07,Buy,VET,1000.0,48.9,1.46,48900.0,31,-48900.0,16660.0,17660.0,0.0,0.0,0.0,0.0,0.0,0.0,536867.64,0.0
2022-04-20,Buy,VET,1210.0,74.93,2.24,90665.3,29,-90665.3,15450.0,16660.0,0.0,0.0,0.0,0.0,0.0,0.0,627532.9400000001,0.0
2022-05-25,Buy,ONE,1000.0,48.69,1.46,48690.0,25,-48690.0,2712.0,3712.0,0.0,0.0,0.0,0.0,0.0,0.0,676222.9400000001,0.0
2022-05-27,Buy,VET,2000.0,58.48,1.75,116960.0,28,-116960.0,13450.0,15450.0,0.0,0.0,0.0,0.0,0.0,0.0,793182.9400000001,0.0
2022-06-09,Buy,VET,1500.0,50.47,1.51,75705.0,27,-75705.0,11950.0,13450.0,0.0,0.0,0.0,0.0,0.0,0.0,868887.9400000001,0.0
2022-06-15,Buy,VET,500.0,11.71,0.35,5855.0,26,-5855.0,11450.0,11950.0,0.0,0.0,0.0,0.0,0.0,0.0,874742.9400000001,0.0
2022-06-18,Buy,VET,1250.0,28.19,0.84,35237.5,24,-35237.5,10200.0,11450.0,0.0,0.0,0.0,0.0,0.0,0.0,909980.4400000001,0.0
2022-07-08,Buy,ONE,1000.0,19.18,0.57,19180.0,9,-19180.0,1712.0,2712.0,0.0,0.0,0.0,0.0,0.0,0.0,929160.4400000001,0.0
2022-08-06,Buy,VET,1000.0,32.18,0.96,32180.0,23,-32180.0,9200.0,10200.0,0.0,0.0,0.0,0.0,0.0,0.0,961340.4400000001,0.0
2022-08-12,Buy,VET,565.0,19.05,0.57,10763.25,22,-10763.25,8635.0,9200.0,0.0,0.0,0.0,0.0,0.0,0.0,972103.6900000001,0.0
2022-08-20,Buy,VET,1285.0,33.85,1.01,43497.25,21,-43497.25,7350.0,8635.0,0.0,0.0,0.0,0.0,0.0,0.0,1015600.9400000001,0.0
2022-09-15,Buy,VET,1300.0,31.08,0.93,40404.0,20,-40404.0,6050.0,7350.0,0.0,0.0,0.0,0.0,0.0,0.0,1056004.94,0.0
2022-09-23,Buy,VET,700.0,16.7,0.5,11690.0,18,-11690.0,5350.0,6050.0,0.0,0.0,0.0,0.0,0.0,0.0,1067694.94,0.0
2022-10-01,Buy,HBAR,500.0,29.3,0.88,14650.0,15,-14650.0,1000.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,1082344.94,0.0
2022-10-01,Buy,VET,1250.0,29.59,0.88,36987.5,14,-36987.5,4100.0,5350.0,0.0,0.0,0.0,0.0,0.0,0.0,1119332.44,0.0
2022-10-07,Buy,USD,15.0,15.0,0.45,225.0,16,-225.0,150.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,1119557.44,0.0
2022-10-22,Buy,USD,15.0,15.0,0.45,225.0,12,-225.0,135.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1119782.44,0.0
2022-10-24,Buy,HBAR,250.0,14.79,0.44,3697.5,13,-3697.5,750.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1123479.94,0.0
2022-10-30,Buy,VET,2000.0,48.47,1.45,96940.0,11,-96940.0,2100.0,4100.0,0.0,0.0,0.0,0.0,0.0,0.0,1220419.94,0.0
2022-10-30,Buy,HBAR,500.0,31.4,0.94,15700.0,10,-15700.0,250.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,1236119.94,0.0
2022-11-05,Buy,USD,15.0,15.0,0.45,225.0,8,-225.0,120.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,1236344.94,0.0
2022-11-08,Buy,VET,2100.0,50.33,1.5,105693.0,0,-105693.0,0.0,2100.0,0.0,105693.0,0.0,0.0,0.0,0.0,1342037.94,50.33
2022-11-08,Buy,HBAR,250.0,13.14,0.39,3285.0,0,-3285.0,0.0,250.0,0.0,3285.0,0.0,0.0,0.0,0.0,1345322.94,13.14
2022-11-08,Buy,ONE,766.0,13.49,0.4,10333.34,3,-10333.34,946.0,1712.0,0.0,0.0,0.0,0.0,0.0,0.0,1355656.28,0.0
2022-11-19,Buy,USD,15.0,15.0,0.45,225.0,7,-225.0,105.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,1355881.28,0.0
2022-12-03,Buy,USD,15.0,15.0,0.45,225.0,6,-225.0,90.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,1356106.28,0.0
2022-12-17,Buy,USD,15.0,15.0,0.45,225.0,5,-225.0,75.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1356331.28,0.0
2022-12-31,Buy,USD,15.0,15.0,0.45,225.0,4,-225.0,60.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1356556.28,0.0
2023-01-14,Buy,USD,15.0,15.0,0.45,225.0,2,-225.0,45.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1356781.28,0.0
2023-01-20,Buy,ONE,946.0,15.51,0.46,14672.46,0,-14672.46,0.0,946.0,0.0,14672.46,0.0,0.0,0.0,0.0,1371453.74,15.51
2023-01-28,Buy,USD,15.0,15.0,0.45,225.0,1,-225.0,30.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1371678.74,0.0
2023-02-11,Buy,USD,15.0,15.0,0.45,225.0,0,-225.0,15.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1371903.74,0.0
2023-02-25,Buy,USD,15.0,15.0,0.45,225.0,0,-225.0,0.0,15.0,0.0,225.0,0.0,0.0,0.0,0.0,1372128.74,15.0
